1032
!f	0	2
!f	46	47
!g	46	47
h	46	47
i	46	47
j	46	47
!k	46	47
l	46	47
!m	46	47
f	47	48
!g	47	48
!h	47	48
!i	47	48
!j	47	48
k	47	48
l	47	48
!m	47	48
!f	48	49
!g	48	49
h	48	49
!i	48	49
!j	48	49
k	48	49
l	48	49
!m	48	49
!f	49	50
g	49	50
h	49	50
!i	49	50
!j	49	50
k	49	50
l	49	50
!m	49	50
!f	50	51
!g	50	51
!h	50	51
i	50	51
!j	50	51
k	50	51
l	50	51
!m	50	51
f	51	52
!g	51	52
!h	51	52
i	51	52
!j	51	52
k	51	52
l	51	52
!m	51	52
!f	52	53
g	52	53
!h	52	53
i	52	53
!j	52	53
k	52	53
l	52	53
!m	52	53
f	53	54
g	53	54
!h	53	54
i	53	54
!j	53	54
k	53	54
l	53	54
!m	53	54
!f	54	55
!g	54	55
h	54	55
i	54	55
!j	54	55
k	54	55
l	54	55
!m	54	55
f	55	56
!g	55	56
h	55	56
i	55	56
!j	55	56
k	55	56
l	55	56
!m	55	56
!f	56	57
g	56	57
h	56	57
i	56	57
!j	56	57
k	56	57
l	56	57
!m	56	57
f	57	58
g	57	58
!h	57	58
!i	57	58
j	57	58
k	57	58
l	57	58
!m	57	58
f	58	59
!g	58	59
h	58	59
!i	58	59
j	58	59
k	58	59
l	58	59
!m	58	59
!f	59	60
g	59	60
h	59	60
!i	59	60
j	59	60
k	59	60
l	59	60
!m	59	60
!f	60	61
!g	60	61
!h	60	61
i	60	61
j	60	61
k	60	61
l	60	61
!m	60	61
f	61	62
!g	61	62
!h	61	62
i	61	62
j	61	62
k	61	62
l	61	62
!m	61	62
!f	62	63
!g	62	63
h	62	63
i	62	63
j	62	63
k	62	63
l	62	63
!m	62	63
!f	63	64
g	63	64
h	63	64
i	63	64
j	63	64
k	63	64
l	63	64
!m	63	64
f	64	65
!g	64	65
!h	64	65
!i	64	65
!j	64	65
!k	64	65
!l	64	65
m	64	65
!f	65	66
g	65	66
!h	65	66
!i	65	66
!j	65	66
!k	65	66
!l	65	66
m	65	66
f	66	67
g	66	67
!h	66	67
!i	66	67
!j	66	67
!k	66	67
!l	66	67
m	66	67
f	67	68
g	67	68
h	67	68
!i	67	68
!j	67	68
!k	67	68
!l	67	68
m	67	68
!f	68	69
!g	68	69
!h	68	69
i	68	69
!j	68	69
!k	68	69
!l	68	69
m	68	69
!f	69	70
g	69	70
!h	69	70
i	69	70
!j	69	70
!k	69	70
!l	69	70
m	69	70
f	70	71
g	70	71
!h	70	71
i	70	71
!j	70	71
!k	70	71
!l	70	71
m	70	71
!f	71	72
!g	71	72
h	71	72
i	71	72
!j	71	72
!k	71	72
!l	71	72
m	71	72
f	72	73
!g	72	73
h	72	73
i	72	73
!j	72	73
!k	72	73
!l	72	73
m	72	73
!f	73	74
g	73	74
h	73	74
i	73	74
!j	73	74
!k	73	74
!l	73	74
m	73	74
!f	74	75
!g	74	75
!h	74	75
!i	74	75
j	74	75
!k	74	75
!l	74	75
m	74	75
!f	75	76
g	75	76
!h	75	76
!i	75	76
j	75	76
!k	75	76
!l	75	76
m	75	76
f	76	77
g	76	77
!h	76	77
!i	76	77
j	76	77
!k	76	77
!l	76	77
m	76	77
!f	77	78
!g	77	78
h	77	78
!i	77	78
j	77	78
!k	77	78
!l	77	78
m	77	78
!f	78	79
g	78	79
h	78	79
!i	78	79
j	78	79
!k	78	79
!l	78	79
m	78	79
f	79	80
g	79	80
h	79	80
!i	79	80
j	79	80
!k	79	80
!l	79	80
m	79	80
f	80	81
g	80	81
h	80	81
i	80	81
j	80	81
!k	80	81
!l	80	81
m	80	81
f	81	82
g	81	82
!h	81	82
!i	81	82
!j	81	82
k	81	82
!l	81	82
m	81	82
!f	82	83
!g	82	83
h	82	83
!i	82	83
!j	82	83
k	82	83
!l	82	83
m	82	83
f	83	84
!g	83	84
h	83	84
!i	83	84
!j	83	84
k	83	84
!l	83	84
m	83	84
!f	84	85
g	84	85
h	84	85
!i	84	85
!j	84	85
k	84	85
!l	84	85
m	84	85
f	85	86
!g	85	86
h	85	86
i	85	86
!j	85	86
k	85	86
!l	85	86
m	85	86
f	86	87
g	86	87
!h	86	87
!i	86	87
j	86	87
k	86	87
!l	86	87
m	86	87
!f	87	88
